sample-id	forward-absolute-filepath	reverse-absolute-filepath
BBT09	raw_data/FDMP21H007160-1a_L1_BB9_1.fq.gz	raw_data/FDMP21H007160-1a_L1_BB9_2.fq.gz
BBT10	raw_data/FDMP21H007160-1a_L1_BB10_1.fq.gz	raw_data/FDMP21H007160-1a_L1_BB10_2.fq.gz
BBT12	raw_data/FDMP21H007160-1a_L1_BB12_1.fq.gz	raw_data/FDMP21H007160-1a_L1_BB12_2.fq.gz
BBT13	raw_data/FDMP21H007160-1a_L1_BB13_1.fq.gz	raw_data/FDMP21H007160-1a_L1_BB13_2.fq.gz
BBT16	raw_data/FDMP21H007160-1a_L1_BB16_1.fq.gz	raw_data/FDMP21H007160-1a_L1_BB16_2.fq.gz
BBT17	raw_data/FDMP21H007160-1a_L1_BB17_1.fq.gz	raw_data/FDMP21H007160-1a_L1_BB17_2.fq.gz
BBT22	raw_data/FDMP21H007160-1a_L1_BB22_1.fq.gz	raw_data/FDMP21H007160-1a_L1_BB22_2.fq.gz
BBT23	raw_data/FDMP21H007160-1a_L1_BB23_1.fq.gz	raw_data/FDMP21H007160-1a_L1_BB23_2.fq.gz
BBT26	raw_data/FDMP21H007160-1a_L1_BB26_1.fq.gz	raw_data/FDMP21H007160-1a_L1_BB26_2.fq.gz
BBT28	raw_data/FDMP21H007160-1a_L1_BB28_1.fq.gz	raw_data/FDMP21H007160-1a_L1_BB28_2.fq.gz
BBT30	raw_data/FDMP21H007160-1a_L1_BB30_1.fq.gz	raw_data/FDMP21H007160-1a_L1_BB30_2.fq.gz
BBT31	raw_data/FDMP21H007160-1a_L1_BB31_1.fq.gz	raw_data/FDMP21H007160-1a_L1_BB31_2.fq.gz
BCT01	raw_data/FDMP21H001463-1a_L1_BC1_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BC1_2.fq.gz
BCT02	raw_data/FDMP21H001463-1a_L1_BC2_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BC2_2.fq.gz
BCT03	raw_data/FDMP21H001463-1a_L1_BC3_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BC3_2.fq.gz
BCT04	raw_data/FDMP21H001463-1a_L1_BC4_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BC4_2.fq.gz
BCT05	raw_data/FDMP21H001509-1a_L1_BC5_1.fq.gz	raw_data/FDMP21H001509-1a_L1_BC5_2.fq.gz
BCT06	raw_data/FDMP21H001463-1a_L1_BC6_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BC6_2.fq.gz
BCT07	raw_data/FDMP21H001463-1a_L1_BC7_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BC7_2.fq.gz
BCT08	raw_data/FDMP21H001463-1a_L1_BC8_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BC8_2.fq.gz
BCT09	raw_data/FDMP21H001463-1a_L1_BC9_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BC9_2.fq.gz
BCT10	raw_data/FDMP21H001463-1a_L1_BC10_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BC10_2.fq.gz
BCT11	raw_data/FDMP21H001463-1a_L1_BC11_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BC11_2.fq.gz
BCT12	raw_data/FDMP21H001463-1a_L1_BC12_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BC12_2.fq.gz
BCT13	raw_data/FDMP21H001463-1a_L1_BC13_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BC13_2.fq.gz
BCT14	raw_data/FDMP21H001463-1a_L1_BC14_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BC14_2.fq.gz
BCT15	raw_data/FDMP21H001463-1a_L1_BC15_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BC15_2.fq.gz
BKT01	raw_data/FDMP21H001463-1a_L1_BK1_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BK1_2.fq.gz
BKT02	raw_data/FDMP21H001463-1a_L1_BK2_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BK2_2.fq.gz
BKT03	raw_data/FDMP21H001463-1a_L1_BK3_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BK3_2.fq.gz
BKT04	raw_data/FDMP21H001509-1a_L1_BK4_1.fq.gz	raw_data/FDMP21H001509-1a_L1_BK4_2.fq.gz
BKT05	raw_data/FDMP21H001463-1a_L1_BK5_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BK5_2.fq.gz
BKT06	raw_data/FDMP21H001463-1a_L1_BK6_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BK6_2.fq.gz
BKT07	raw_data/FDMP21H001463-1a_L1_BK7_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BK7_2.fq.gz
BKT08	raw_data/FDMP21H001463-1a_L1_BK8_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BK8_2.fq.gz
BKT09	raw_data/FDMP21H001463-1a_L1_BK9_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BK9_2.fq.gz
BKT10	raw_data/FDMP21H001509-1a_L1_BK10_1.fq.gz	raw_data/FDMP21H001509-1a_L1_BK10_2.fq.gz
BMT01	raw_data/FDMP21H001463-1a_L1_BM1_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BM1_2.fq.gz
BMT02	raw_data/FDMP21H001463-1a_L1_BM2_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BM2_2.fq.gz
BMT03	raw_data/FDMP21H001463-1a_L1_BM3_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BM3_2.fq.gz
BMT04	raw_data/FDMP21H001463-1a_L1_BM4_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BM4_2.fq.gz
BMT05	raw_data/FDMP21H001463-1a_L1_BM5_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BM5_2.fq.gz
BMT06	raw_data/FDMP21H001463-1a_L1_BM6_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BM6_2.fq.gz
BTT01	raw_data/FDMP21H001463-1a_L1_BT1_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BT1_2.fq.gz
BTT02	raw_data/FDMP21H001463-1a_L1_BT2_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BT2_2.fq.gz
BTT03	raw_data/FDMP21H001463-1a_L1_BT3_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BT3_2.fq.gz
BTT04	raw_data/FDMP21H001463-1a_L1_BT4_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BT4_2.fq.gz
BTT05	raw_data/FDMP21H001463-1a_L1_BT5_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BT5_2.fq.gz
BTT06	raw_data/FDMP21H001463-1a_L1_BT6_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BT6_2.fq.gz
BTT07	raw_data/FDMP21H001463-1a_L1_BT7_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BT7_2.fq.gz
BTT08	raw_data/FDMP21H001463-1a_L1_BT8_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BT8_2.fq.gz
BTT09	raw_data/FDMP21H001463-1a_L1_BT9_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BT9_2.fq.gz
BTT10	raw_data/FDMP21H001463-1a_L1_BT10_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BT10_2.fq.gz
BTT11	raw_data/FDMP21H001463-1a_L1_BT11_1.fq.gz	raw_data/FDMP21H001463-1a_L1_BT11_2.fq.gz
