sample-id	Population
BBT09	Bengali
BBT10	Bengali
BBT12	Bengali
BBT13	Bengali
BBT16	Bengali
BBT17	Bengali
BBT22	Bengali
BBT23	Bengali
BBT26	Bengali
BBT28	Bengali
BBT30	Bengali
BBT31	Bengali
BCT01	Chakma
BCT02	Chakma
BCT03	Chakma
BCT04	Chakma
BCT05	Chakma
BCT06	Chakma
BCT07	Chakma
BCT08	Chakma
BCT09	Chakma
BCT10	Chakma
BCT11	Chakma
BCT12	Chakma
BCT13	Chakma
BCT14	Chakma
BCT15	Chakma
BKT01	Khiyang
BKT02	Khiyang
BKT03	Khiyang
BKT04	Khiyang
BKT05	Khiyang
BKT06	Khiyang
BKT07	Khiyang
BKT08	Khiyang
BKT09	Khiyang
BKT10	Khiyang
BMT01	Marma
BMT02	Marma
BMT03	Marma
BMT04	Marma
BMT05	Marma
BMT06	Marma
BTT01	Tripura
BTT02	Tripura
BTT03	Tripura
BTT04	Tripura
BTT05	Tripura
BTT06	Tripura
BTT07	Tripura
BTT08	Tripura
BTT09	Tripura
BTT10	Tripura
BTT11	Tripura
